title,code,median annual wage 2012,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree
"Total, all occupations",00-0000,"$34,750",9.1,25.2,22.0,9.0,21.6,9.0,4.1
Chief executives,11-1011,"$168,140",1.5,9.9,16.0,5.8,39.4,20.6,6.9
General and operations managers,11-1021,"$95,440",2.2,15.7,24.3,8.4,34.0,12.7,2.6
Legislators,11-1031,"$19,780",1.5,9.9,16.0,5.8,39.4,20.6,6.9
Advertising and promotions managers,11-2011,"$88,590",1.6,5.1,13.9,5.5,60.5,13.1,0.4
Marketing managers,11-2021,"$119,480",0.7,8.5,17.6,6.4,48.9,16.5,1.5
Sales managers,11-2022,"$105,260",0.7,8.5,17.6,6.4,48.9,16.5,1.5
Public relations and fundraising managers,11-2031,"$95,450",0.1,3.4,10.6,3.2,54.2,24.5,4.0
Administrative services managers,11-3011,"$81,080",1.3,17.7,29.1,11.3,27.6,11.2,1.9
Computer and information systems managers,11-3021,"$120,950",0.3,3.8,15.1,8.1,45.5,25.0,2.2
Financial managers,11-3031,"$109,740",0.8,10.7,20.1,7.5,40.3,18.2,2.3
Industrial production managers,11-3051,"$89,190",3.8,20.4,23.1,8.3,31.4,11.7,1.3
Purchasing managers,11-3061,"$100,170",1.1,12.1,21.4,8.5,37.8,16.9,2.2
"Transportation, storage, and distribution managers",11-3071,"$81,830",4.8,29.1,28.9,8.4,22.5,5.5,0.9
Compensation and benefits managers,11-3111,"$95,250",0.0,9.1,21.7,8.8,41.5,17.5,1.5
Human resources managers,11-3121,"$99,720",2.7,12.4,20.5,7.7,35.6,18.4,2.7
Training and development managers,11-3131,"$95,400",0.8,7.0,17.3,8.4,37.5,25.5,3.5
"Farmers, ranchers, and other agricultural managers",11-9013,"$69,300",11.5,38.7,20.3,8.1,17.8,2.7,0.8
Construction managers,11-9021,"$82,790",6.7,26.9,25.0,7.7,27.5,5.4,0.7
"Education administrators, preschool and childcare center/program",11-9031,"$43,950",0.7,5.1,9.0,5.0,22.0,44.7,13.5
"Education administrators, elementary and secondary school",11-9032,"$87,760",0.7,5.1,9.0,5.0,22.0,44.7,13.5
"Education administrators, postsecondary",11-9033,"$86,490",0.7,5.1,9.0,5.0,22.0,44.7,13.5
"Education administrators, all other",11-9039,"$76,860",0.7,5.1,9.0,5.0,22.0,44.7,13.5
Architectural and engineering managers,11-9041,"$124,870",0.3,2.9,7.8,5.2,47.1,31.3,5.5
Food service managers,11-9051,"$47,960",9.0,29.2,28.1,9.0,20.9,3.3,0.6
Funeral service managers,11-9061,"$66,720",2.8,15.0,20.4,7.8,34.4,16.2,3.4
Gaming managers,11-9071,"$65,220",2.9,32.4,36.3,11.2,14.9,1.8,0.5
Lodging managers,11-9081,"$46,810",3.8,19.7,26.0,9.7,30.4,8.8,1.6
Medical and health services managers,11-9111,"$88,580",0.9,9.6,16.3,12.7,30.8,22.8,6.9
Natural sciences managers,11-9121,"$115,730",0.4,2.2,4.5,3.4,33.4,25.0,31.2
Postmasters and mail superintendents,11-9131,"$63,050",2.8,15.0,20.4,7.8,34.4,16.2,3.4
"Property, real estate, and community association managers",11-9141,"$52,610",4.4,20.2,27.6,9.1,28.7,7.8,2.2
Social and community service managers,11-9151,"$59,970",1.5,8.0,15.1,6.3,36.1,27.7,5.2
Emergency management directors,11-9161,"$59,770",1.2,12.5,19.6,8.2,41.3,14.8,2.4
"Managers, all other",11-9199,"$100,890",2.8,15.0,20.4,7.8,34.4,16.2,3.4
"Agents and business managers of artists, performers, and athletes",13-1011,"$63,370",1.8,12.5,21.7,6.3,42.4,10.1,5.3
"Buyers and purchasing agents, farm products",13-1021,"$55,720",8.7,29.2,18.1,8.7,29.5,5.6,0.2
"Wholesale and retail buyers, except farm products",13-1022,"$51,470",4.5,23.8,28.2,9.6,29.0,4.2,0.6
"Purchasing agents, except wholesale, retail, and farm products",13-1023,"$58,760",2.0,19.1,27.0,10.8,31.8,8.5,0.8
"Claims adjusters, examiners, and investigators",13-1031,"$59,960",1.0,16.0,26.2,10.4,39.3,5.6,1.6
"Insurance appraisers, auto damage",13-1032,"$58,610",1.0,16.0,26.2,10.4,39.3,5.6,1.6
Compliance officers,13-1041,"$62,020",1.0,11.1,19.3,10.1,37.9,15.7,5.0
Cost estimators,13-1051,"$58,860",2.1,24.1,28.7,11.6,28.4,4.6,0.4
Human resources specialists,13-1071,"$55,800",1.3,11.0,21.1,9.3,40.7,14.6,2.0
Farm labor contractors,13-1074,,1.3,11.0,21.1,9.3,40.7,14.6,2.0
Labor relations specialists,13-1075,"$54,660",1.3,11.0,21.1,9.3,40.7,14.6,2.0
Logisticians,13-1081,"$72,780",1.5,13.9,28.6,14.2,30.6,10.6,0.5
Management analysts,13-1111,"$78,600",0.7,4.8,12.9,4.9,41.3,28.7,6.8
"Meeting, convention, and event planners",13-1121,"$45,810",1.7,11.1,20.6,6.6,49.1,10.0,1.0
Fundraisers,13-1131,"$50,680",1.4,5.1,10.5,3.0,50.4,25.3,4.3
"Compensation, benefits, and job analysis specialists",13-1141,"$59,090",0.1,13.3,27.0,11.8,36.6,10.2,1.0
Training and development specialists,13-1151,"$55,930",1.2,12.9,25.0,8.6,32.8,16.9,2.5
Market research analysts and marketing specialists,13-1161,"$60,300",0.6,4.6,12.3,5.7,50.9,22.5,3.3
